PARCEL_NO,ParcelNo
22 12056.,22012056.
16 32152.,16032152.
22 11554-6,22011554-6
21 66856.,21066856.
21 55985.,21055985.
22 85979.,22085979.
22 38095.011,22038095.011
21 40618.,21040618.
21 41339.,21041339.
22 78766.,22078766.
16 26718.,16026718.
2  5929.,020 5929.
22 31545.,22031545.
20 7814.,20007814.
17 2520.,17002520.
16 5607.,16005607.
22 62357.,22062357.
1  4055.006L,010 4055.006L
2  1097.,020 1097.
1  9862-3,010 9862-3
22 25881.,22025881.
2  1910-5,020 1910-5
8  3496.,080 3496.
1  6582.,010 6582.
22 28494.,22028494.
20 8708-9,20008708-9
22 53027.,22053027.
2  334.,0200 334.
22 90527.,22090527.
21 27793.,21027793.
13 14007.,13014007.
17 175.,17000175.
16 36853.,16036853.
22 33600.,22033600.
21 30789.,21030789.
4  89-96,04000 89-96
20 9451.003L,20009451.003L
5  64-6,05000 64-6
21 69364.,21069364.
4  113.,0400 113.
21 46517.,21046517.
22 59468.,22059468.
22 115287.001,22115287.001
6  2510.,060 2510.
16 27652.,16027652.
22 109971.,22109971.
20 13319.,20013319.
2  4700.,020 4700.
14 12444.,14012444.
13 15075.013,13015075.013
2  1794.,020 1794.
18 13352.,18013352.
22 114771.,22114771.
1  889-983,0100 889-983
18 8515.,18008515.
1  6851.,010 6851.
22 43908.,22043908.
16 39588.,16039588.
16 15296.,16015296.
16 30367.,16030367.
15 14245.,15014245.
22 94293.,22094293.
22 123390.,22123390.
4  574.,0400 574.
21 338.,21000338.
15 4548.,15004548.
2  1894-9,020 1894-9
20 10921.,20010921.
17 15102.,17015102.
16 43095.,16043095.
22 76780.,22076780.
8  547.,0800 547.
18 2915.,18002915.
21 65152.,21065152.
13 1.003L,13000001.003L
13 21341-2,13021341-2
1  1565.,010 1565.
22 81810.,22081810.
2  5559.,020 5559.
21 31272.,21031272.
22 25738.,22025738.
18 17335.,18017335.
15 111-4,15000111-4
20 7879.,20007879.
16 39597.,16039597.
9  8894.,090 8894.
22 92160.,22092160.
2  2213.,020 2213.
16 43980.,16043980.
18 15959-61,18015959-61
16 990.,16000990.
2  169-70,0200 169-70
16 9435.,16009435.
16 1008.,16001008.
20 8745.,20008745.
8  764.,0800 764.
8  8258-67,080 8258-67
16 34830.,16034830.
20 15524.,20015524.
13 12706.,13012706.
4  1939.,040 1939.
21 23089.,21023089.
20 15602.,20015602.
21 16148.,21016148.
17 7324.,17007324.
22 76521.,22076521.
21 25634-5,21025634-5
4  113.,0400 113.
8  9776.,080 9776.
22 72613.,22072613.
2  400-1,0200 400-1
22 100401.,22100401.
21 81134.,21081134.
6  876-81,0600 876-81
16 37437-8,16037437-8
18 3578.,18003578.
3  3407-15,030 3407-15
18 5239.,18005239.
21 52184.002,21052184.002
22 113857.,22113857.
22 119107-9,22119107-9
22 48764.,22048764.
22 2680-1,22002680-1
1  4023.,010 4023.
22 125316.,22125316.
2  3802.,020 3802.
22 87424.,22087424.
2  267.,0200 267.
22 84720.,22084720.
21 26619.,21026619.
21 41097.,21041097.
8  444.,0800 444.
13 6591.,13006591.
17 5472.,17005472.
2  2249.,020 2249.
2  817-8,0200 817-8
1  4087-97,010 4087-97
22 65894.,22065894.
9  11060.,09 11060.
22 100150.,22100150.
22 86358.,22086358.
14 8752.,14008752.
2  2014.,020 2014.
16 10286.,16010286.
22 34128.,22034128.
20 2135.,20002135.
22 101807.,22101807.
22 113954.,22113954.
16 27417.,16027417.
9  21078.,09 21078.
15 5132.,15005132.
21 2879.,21002879.
17 1110.,17001110.
4  1521-9,040 1521-9
16 34790.,16034790.
10 1314.,10001314.
21 1681-2,21001681-2
22 99155.,22099155.
22 67950.,22067950.
16 11984-5,16011984-5
2  1799-800,020 1799-800
1  7568.,010 7568.
21 61884-5,21061884-5
2  386.,0200 386.
9  11268.,09 11268.
18 1111.,18001111.
12 5080.,12005080.
18 17605.,18017605.
16 9741.,16009741.
21 46513.,21046513.
22 116679.016,22116679.016
22 94397.,22094397.
4  3190-3,040 3190-3
21 67633.,21067633.
13 16303.,13016303.
22 100220.,22100220.
21 74140.,21074140.
22 87549.,22087549.
22 17666.001,22017666.001
6  1803.,060 1803.
1  1565.,010 1565.
22 108292.,22108292.
2  3545.,020 3545.
15 10368.,15010368.
21 23724.,21023724.
21 69671.,21069671.
21 29145-7,21029145-7
1  236.,0100 236.
1  4310-1,010 4310-1
22 17834.,22017834.
16 14256.,16014256.
3  100-32,0300 100-32
22 10067-8,22010067-8
21 73297.,21073297.
9  2663.,090 2663.
21 23724.,21023724.
2  4952.,020 4952.
22 78027.,22078027.
20 12674.,20012674.
21 1601-2,21001601-2
22 53232.,22053232.
13 23939.,13023939.
22 43882.,22043882.
21 6785.,21006785.
1  3412.,010 3412.
2  1090-2,020 1090-2
2  386.,0200 386.
22 64465.,22064465.
22 78499.,22078499.
21 79839.,21079839.
12 11041.,12011041.
21 70901.,21070901.
20 16056.,20016056.
17 7020.,17007020.
21 74247-8,21074247-8
22 28335.,22028335.
3  1317-24,030 1317-24
16 7816-22,16007816-22
14 1051.,14001051.
8  2962.,080 2962.
22 42085.,22042085.
22 91609.,22091609.
22 117682.,22117682.
3  2729.,030 2729.
21 62960.,21062960.
2  1910-5,020 1910-5
15 3635.,15003635.
16 35725-6,16035725-6
10 3737.,10003737.
2  1892.,020 1892.
20 15911.,20015911.
21 69705.,21069705.
1  4400-2,010 4400-2
22 2448.,22002448.
22 66717.,22066717.
22 62459.,22062459.
22 109086.,22109086.
18 15214.,18015214.
22 76480.,22076480.
16 25706.,16025706.
2  3666.,020 3666.
15 5737.,15005737.
16 13808.,16013808.
13 15942.,13015942.
17 11522.,17011522.
22 58150.,22058150.
8  4251.,080 4251.
21 81119.,21081119.
20 3291.,20003291.
22 88189.,22088189.
22 112425.,22112425.
22 59432.,22059432.
21 2513-21,21002513-21
22 70515.,22070515.
21 67465.,21067465.
21 81135.,21081135.
20 1628.,20001628.
21 35632.,21035632.
21 67360.001,21067360.001
16 37321.,16037321.
22 110621.,22110621.
15 4537.,15004537.
22 69186.,22069186.
13 11902-3,13011902-3
21 3317.003L,21003317.003L
20 15910.,20015910.
13 8395-400,13008395-400
2  1892.,020 1892.
14 4560.,14004560.
1  4.002L,010000 4.002L
18 2562.,18002562.
22 9497.,22009497.
21 67908.,21067908.
20 10636.,20010636.
7  1399-410,070 1399-410
21 80711.,21080711.
17 6280.,17006280.
9  18572.,09 18572.
2  716.,0200 716.
22 38076.,22038076.
21 8449.,21008449.
21 79326-7,21079326-7
22 112680.,22112680.
22 112191.,22112191.
22 86228.032,22086228.032
13 13401.,13013401.
12 3226.,12003226.
22 115436.017,22115436.017
3  3183-95,030 3183-95
21 68763.,21068763.
1  4131.,010 4131.
16 3046.,16003046.
18 17012.,18017012.
22 81691.,22081691.
21 38973.,21038973.
22 67589.,22067589.
14 10091.,14010091.
13 53-60,13000053-60
21 464-68,21000464-68
22 644.,22000644.
22 24317.,22024317.
21 19712.,21019712.
21 40919.,21040919.
16 14369.,16014369.
22 92562.,22092562.
2  5145.,020 5145.
2  192.,0200 192.
6  6383.002L,060 6383.002L
22 94415.,22094415.
16 7521-5,16007521-5
22 52424.,22052424.
14 1258.,14001258.
21 29109.,21029109.
22 101506.,22101506.
1  1106.,010 1106.
22 46467-8,22046467-8
21 69321.,21069321.
18 4548.,18004548.
22 89231.,22089231.
22 122156.,22122156.
10 5873.002L,10005873.002L
1  9736.,010 9736.
18 10687.,18010687.
21 52437.,21052437.
22 67367.,22067367.
18 9214.,18009214.
21 17784.,21017784.
22 41550.,22041550.
3  1744.,030 1744.
16 38774-5,16038774-5
18 17386.,18017386.
21 29211.,21029211.
18 600.,18000600.
21 9781.,21009781.
22 93926.,22093926.
8  6303.,080 6303.
4  1511-3,040 1511-3
22 96148.,22096148.
22 22890.,22022890.
21 31199.,21031199.
13 6303.,13006303.
10 3655.,10003655.
13 7097-8,13007097-8
21 71731.,21071731.
2  890.,0200 890.
1 3837-49,01003837-49
8  5015.002L,080 5015.002L
16 28535.,16028535.
21 55428.,21055428.
2  1910-5,020 1910-5
9  16817-8,09 16817-8
22 18501.,22018501.
3  2261.,030 2261.
1  4131.,010 4131.
2  890.,0200 890.
2 1996.,02001996.
22 39594-6,22039594-6
22 13422.,22013422.
22 95966-99,22095966-99
22 104740.,22104740.
18 1204.,18001204.
22 116555.,22116555.
21 460.002L,21000460.002L
22 79371.,22079371.
21 29686.,21029686.
3  3171-82,030 3171-82
22 31739.,22031739.
21 13921.,21013921.
22 69339.,22069339.
3  2355.,030 2355.
22 23812.,22023812.
21 73656.,21073656.
16 13812.,16013812.
16 42972-3,16042972-3
21 69956.,21069956.
21 80490.,21080490.
22 88723.,22088723.
21 53932.,21053932.
1  811.,0100 811.
18 4812-3,18004812-3
22 91209.,22091209.
21 71383.,21071383.
11 226-311,11000226-311
2  2607-13,020 2607-13
22 42252-3,22042252-3
6  2154.,060 2154.
16 246-7,16000246-7
2  192.,0200 192.
13 13241-2,13013241-2
22 23620.,22023620.
22 31697.,22031697.
22 91039.008,22091039.008
22 67207.001,22067207.001
22 94772.,22094772.
19 5853.,19005853.
21 58733.008,21058733.008
22 31683.,22031683.
1  4105.,010 4105.
1  1.,010000 1.
14 3406.,14003406.
17 7617.,17007617.
21 21987.,21021987.
22 35442-3,22035442-3
18 9733.002,18009733.002
21 80763.,21080763.
22 112180.,22112180.
22 62200.,22062200.
13 9987.,13009987.
16 41063.,16041063.
22 34410.,22034410.
22 121741.,22121741.
1  8195.,010 8195.
22 57646.,22057646.
20 17070-6,20017070-6
2  3634.,020 3634.
9  15860.,09 15860.
22 24669.,22024669.
21 23716.,21023716.
21 57234-9,21057234-9
8  3087.,080 3087.
17 5998.,17005998.
22 115806.,22115806.
22 24548.,22024548.
16 42414.,16042414.
22 42315.,22042315.
2  1834.,020 1834.
17 16323-7,17016323-7
3  3183-95,030 3183-95
18 1415.,18001415.
4  1594-600,040 1594-600
20 16007.,20016007.
16 33052.,16033052.
17 15266.,17015266.
22 46399.,22046399.
18 11454-5,18011454-5
3  1479-80,030 1479-80
21 26959.,21026959.
21 216.,21000216.
16 44851.,16044851.
12 11592.,12011592.
22 115100.,22115100.
13 18703.,13018703.
22 123784.,22123784.
2  2728.006L,020 2728.006L
17 9116.,17009116.
22 84695.,22084695.
4  2347.,040 2347.
15 8589-90,15008589-90
20 6963.,20006963.
21 63187.,21063187.
22 51818.,22051818.
4  2663.,040 2663.
22 32912.,22032912.
1  3879-83,010 3879-83
16 10127.,16010127.
15 13854.,15013854.
22 41224.,22041224.
22 79226-7,22079226-7
21 31325.,21031325.
21 23209.,21023209.
2  1778.,020 1778.
5  681-90,0500 681-90
22 1745-9,22001745-9
22 31291.,22031291.
9  4551.,090 4551.
4  2073.,040 2073.
22 9915-6,22009915-6
6  2276.,060 2276.
22 38669.,22038669.
22 37293.,22037293.
16 38430-5,16038430-5
22 55083.,22055083.
16 5601.,16005601.
20 15240-2,20015240-2
2  5467.,020 5467.
21 80395.001,21080395.001
22 103376.,22103376.
22 29510.,22029510.
13 10828.,13010828.
2  303.004L,0200 303.004L
21 12981.,21012981.
9  14600.,09 14600.
22 47005.,22047005.
22 21066.,22021066.
21 1376.,21001376.
22 87065-6,22087065-6
16 40213.,16040213.
1  9411.,010 9411.
17 11475.,17011475.
22 46390.,22046390.
9  19629.,09 19629.
15 13729.,15013729.
22 61869.,22061869.
17 10230.,17010230.
8  5956.,080 5956.
9  5203.,090 5203.
22 81255.,22081255.
17 8172.003L,17008172.003L
17 7551.,17007551.
21 13023.,21013023.
15 10755.,15010755.
22 38817.,22038817.
17 10546.,17010546.
3  3183-95,030 3183-95
16 2370.,16002370.
22 54983.003L,22054983.003L
21 29780.,21029780.
22 58703.029,22058703.029
2  2884.,020 2884.
15 5034-6,15005034-6
22 14004-5,22014004-5
22 3137-41,22003137-41
1  3945.,010 3945.
21 47025.,21047025.
22 66126.,22066126.
21 38605.,21038605.
16 23048.,16023048.
21 36087.,21036087.
16 36878.,16036878.
21 60096.,21060096.
20 14328-33,20014328-33
22 100488.008,22100488.008
16 36859.,16036859.
18 17386.,18017386.
2  4066.,020 4066.
20 3203.,20003203.
17 9128.,17009128.
22 76485.,22076485.
10 3576.,10003576.
16 10177.,16010177.
22 27926.,22027926.
22 89199.,22089199.
17 7800.,17007800.
2  1778.,020 1778.
22 20330-1,22020330-1
8  1696-8,080 1696-8
3  3095-109,030 3095-109
22 33219.,22033219.
21 78483.002L,21078483.002L
13 2267.,13002267.
16 38550-3,16038550-3
21 70280.,21070280.
22 116674.001,22116674.001
22 47638.,22047638.
16 17592.,16017592.
16 10644.,16010644.
21 2427-8,21002427-8
22 93136.,22093136.
13 18162.,13018162.
9  8746-9,090 8746-9
16 30498.,16030498.
1  2674.,010 2674.
22 74729.,22074729.
22 109221.002,22109221.002
22 24498.,22024498.
22 77788.003,22077788.003
1  3927.,010 3927.
22 60424.,22060424.
22 147-57,22000147-57
22 48315.,22048315.
21 70752.,21070752.
22 55990.,22055990.
3  3491-517,030 3491-517
21 33947.,21033947.
22 21450.,22021450.
22 110650.005,22110650.005
4  4000-11,040 4000-11
22 112379.,22112379.
5  3750-82,050 3750-82
22 47842.,22047842.
16 30883.,16030883.
22 33454.,22033454.
18 11177.,18011177.
22 49376.,22049376.
1  4097.,010 4097.
22 64887.,22064887.
22 104382.,22104382.
2  2546.,020 2546.
22 93735.,22093735.
2  370.001,0200 370.001
16 2152.002L,16002152.002L
15 2527.001,15002527.001
22 21744.,22021744.
22 119370.013,22119370.013
22 27053.,22027053.
18 6008.,18006008.
6  442-8,0600 442-8
3  2720.,030 2720.
21 8622.,21008622.
1  4163.,010 4163.
21 63679.,21063679.
22 30340.032,22030340.032
16 38600.,16038600.
17 13476.,17013476.
16 9006.,16009006.
21 23769.,21023769.
19 180.,19000180.
1  188.,0100 188.
20 14531.,20014531.
19 4957.,19004957.
22 93097.,22093097.
22 79912.,22079912.
21 34777.,21034777.
22 27225.,22027225.
20 7508.,20007508.
6  6106.,060 6106.
21 24183-4,21024183-4
21 55796-7,21055796-7
13 16495.,13016495.
22 60232.,22060232.
18 14708-9,18014708-9
1  3879-83,010 3879-83
13 5186.,13005186.
21 68400.,21068400.
18 17993.,18017993.
22 65133.,22065133.
21 16579.,21016579.
21 64809.,21064809.
16 31030-1,16031030-1
2  1797.,020 1797.
21 79820-1,21079820-1
16 11347.,16011347.
21 11651.,21011651.
12 3584.,12003584.
16 14954.,16014954.
8  3631.,080 3631.
13 20938.,13020938.
8  1638.,080 1638.
22 119371.002,22119371.002
22 66403.004L,22066403.004L
16 4850.,16004850.
12 6179.,12006179.
20 7134.,20007134.
21 39523.,21039523.
22 89531.,22089531.
18 15393.,18015393.
22 690-1,22000690-1
21 66634.001,21066634.001
21 34850.,21034850.
1  7963-8191,010 7963-8191
8  7053.,080 7053.
20 16245.,20016245.
16 42793.,16042793.
4  1810.,040 1810.
1  4163.,010 4163.
5  3487.,050 3487.
17 14213-4,17014213-4
22 37044.016,22037044.016
6  6106.,060 6106.
22 100356.,22100356.
22 113971.,22113971.
15 8051.,15008051.
9  24866-7,09 24866-7
2 285.,02000285.
22 47107.,22047107.
13 18932.,13018932.
1  275.,0100 275.
16 34972.,16034972.
17 10562.,17010562.
9  11817.,09 11817.
2  303.004L,0200 303.004L
1  4178.,010 4178.
17 8389.,17008389.
20 10091.,20010091.
16 7336.,16007336.
22 86424.,22086424.
19 3962.,19003962.
6  6267.,060 6267.
15 13724.,15013724.
22 67408.,22067408.
22 88507.,22088507.
16 36707.,16036707.
21 58358.,21058358.
13 24484.,13024484.
2  169-70,0200 169-70
22 21338.,22021338.
22 118892.,22118892.
12 11120.,12011120.
18 3394.,18003394.
22 62706.,22062706.
17 6308.,17006308.
22 21889-90,22021889-90
21 12778.,21012778.
22 9873.031,22009873.031
21 34939.,21034939.
16 17014.,16017014.
16 41446.,16041446.
22 19308-9,22019308-9
22 75095.,22075095.
3  100-32,0300 100-32
1  4282.,010 4282.
22 113432.,22113432.
15 11791.,15011791.
22 29060.,22029060.
21 67414.,21067414.
21 2399.,21002399.
16 14256.,16014256.
21 1469.,21001469.
21 80207.,21080207.
16 20676.,16020676.
22 15688.002,22015688.002
21 19432.,21019432.
21 33725.,21033725.
22 2317-8,22002317-8
22 61212.,22061212.
22 12984.,22012984.
2  1529.,020 1529.
2  3408.,020 3408.
22 43321.,22043321.
22 9873.126,22009873.126
21 63.001,21000063.001
16 40758.,16040758.
21 18532.,21018532.
22 457.,22000457.
21 12575.,21012575.
8  5585.,080 5585.
22 28073.,22028073.
8  7876.,080 7876.
22 16521-34,22016521-34
13 21263.,13021263.
22 90588.,22090588.
21 9898.,21009898.
21 30523.,21030523.
1  4447.,010 4447.
12 337.,12000337.
18 5421.,18005421.
22 8130.,22008130.
2  288.,0200 288.
21 15634.002,21015634.002
22 121890.,22121890.
13 5455.,13005455.
22 23301.,22023301.
21 24596-7,21024596-7
14 8735.,14008735.
16 26455.,16026455.
21 68661.,21068661.
17 19.,17000019.
12 308-12,12000308-12
22 117134.,22117134.
16 33288.,16033288.
22 79311-2,22079311-2
3  100-32,0300 100-32
9  10499.,09 10499.
18 10372.,18010372.
22 118552.003L,22118552.003L
20 10548.,20010548.
14 10196.,14010196.
21 76038.,21076038.
14 9512-6,14009512-6
12 11798.,12011798.
10 5650.,10005650.
16 19003.,16019003.
22 65867.,22065867.
16 18511.,16018511.
22 85023.,22085023.
22 11605.,22011605.
21 33740.,21033740.
22 90129.,22090129.
9  3900-1,090 3900-1
16 3713-4,16003713-4
22 115893.,22115893.
21 57310-8,21057310-8
17 14873.,17014873.
15 13257.,15013257.
16 34828.,16034828.
22 81838.,22081838.
1  1027.,010 1027.
19 8731.,19008731.
14 5839.,14005839.
21 22262.,21022262.
22 30564-5,22030564-5
21 33682.,21033682.
22 38225.,22038225.
2  656.,0200 656.
2  3471.,020 3471.
22 120246.,22120246.
22 47547.,22047547.
22 98590.017,22098590.017
22 30610.002,22030610.002
13 4811.,13004811.
16 11776.,16011776.
6  21.,06000 21.
13 11598.,13011598.
22 46148.,22046148.
21 69181.,21069181.
11 3587.,11003587.
22 79266.,22079266.
21 54763.,21054763.
21 15515.,21015515.
3  3341-4,030 3341-4
13 1329.,13001329.
22 87987.,22087987.
21 69891.,21069891.
13 24892.001,13024892.001
16 31916.,16031916.
1  339-477,0100 339-477
16 43295.,16043295.
2  2016.,020 2016.
13 14592.,13014592.
2  279.,0200 279.
9  7252.,090 7252.
22 68386.,22068386.
22 18325-6,22018325-6
22 19024.005,22019024.005
22 75826.,22075826.
11 688.001,11000688.001
9  11765.,09 11765.
1  275.,0100 275.
19 4279.,19004279.
21 28605.,21028605.
22 81442.,22081442.
1  4011.,010 4011.
17 13.014,17000013.014
22 93127.,22093127.
22 31372.,22031372.
21 39709.,21039709.
20 15240-2,20015240-2
22 70133.,22070133.
18 15998.,18015998.
19 9340.,19009340.
3  1803.,030 1803.
22 56039.,22056039.
15 13291.002L,15013291.002L
13 10565.,13010565.
10 426.,10000426.
22 113380.,22113380.
21 62793.,21062793.
13 5187.,13005187.
9  5003.,090 5003.
22 25581.,22025581.
8  6066.,080 6066.
22 79917.,22079917.
21 32081.,21032081.
9  8090.,090 8090.
22 76998.,22076998.
8  1224-7,080 1224-7
18 436-8,18000436-8
22 123760.,22123760.
21 341.,21000341.
8  9810.,080 9810.
18 1777.,18001777.
9  17574.,09 17574.
22 108648.016,22108648.016
22 122225.,22122225.
16 9008.004,16009008.004
11 2651.,11002651.
22 13137.,22013137.
20 3291.,20003291.
9  12854.,09 12854.
13 11885.,13011885.
21 22565.,21022565.
22 74938.002L,22074938.002L
22 82525.,22082525.
21 43260.,21043260.
21 13053.,21013053.
21 3352.,21003352.
1  4142-54,010 4142-54
20 16982-5,20016982-5
20 8344.,20008344.
18 8443.,18008443.
1  4043-9,010 4043-9
2  5291.,020 5291.
2  4615.,020 4615.
1  3879-83,010 3879-83
21 6405.,21006405.
22 94104.,22094104.
22 126008.,22126008.
22 97621.,22097621.
21 26560.,21026560.
22 99242.,22099242.
11 2176.,11002176.
13 10254.,13010254.
21 65881.,21065881.
22 77949.,22077949.
22 2142-52,22002142-52
6  1239-53,060 1239-53
22 78109.002L,22078109.002L
22 38444.,22038444.
22 78259.,22078259.
6  2809.,060 2809.
22 97480.,22097480.
22 124707.,22124707.
21 16070.,21016070.
9  19396.,09 19396.
16 38646.,16038646.
20 16341.,20016341.
21 67360.008,21067360.008
21 18687.,21018687.
16 23121.,16023121.
2  2014.,020 2014.
22 87572.,22087572.
15 1376.,15001376.
2  3003.,020 3003.
12 13211.,12013211.
21 70490.,21070490.
18 5913.,18005913.
21 67349.,21067349.
21 53223.,21053223.
2 910.,02000910.
21 42068.,21042068.
22 42643.,22042643.
16 27476.,16027476.
2  303.004L,0200 303.004L
13 771-2,13000771-2
22 22714.,22022714.
17 16364.,17016364.
13 15942.,13015942.
22 124678.,22124678.
8  2736.,080 2736.
22 47829.,22047829.
16 18812.,16018812.
1  4163.,010 4163.
13 10341.,13010341.
12 12552.,12012552.
16 15990.,16015990.
22 116571.,22116571.
22 63205.,22063205.
21 61379.,21061379.
17 2026.,17002026.
8  2948.,080 2948.
22 10330-1,22010330-1
22 37938.,22037938.
1  5983.,010 5983.
12 11063.,12011063.
13 13969-70,13013969-70
6  1115.009,060 1115.009
22 30610.002,22030610.002
2  6091.,020 6091.
22 13075.,22013075.
17 454.,17000454.
2  2809.,020 2809.
22 125478-9,22125478-9
22 1077.002L,22001077.002L
21 32500.,21032500.
10 5401.,10005401.
6  1622.,060 1622.
22 54462.,22054462.
16 5082-3,16005082-3
22 113815.,22113815.
22 118248.,22118248.
22 43127.,22043127.
12 2504.,12002504.
22 109221.031,22109221.031
16 15519.,16015519.
2  1200.,020 1200.
18 2749.,18002749.
22 2415-9,22002415-9
16 41366.,16041366.
22 59336.032,22059336.032
17 4291-2,17004291-2
20 16440.,20016440.
18 11982.,18011982.
8  8684.001,080 8684.001
22 44008.,22044008.
16 14456.,16014456.
18 16029.,18016029.
22 25657.,22025657.
12 8772.,12008772.
11 2193-99,11002193-99
21 57598.,21057598.
2  2100.,020 2100.
14 4718.,14004718.
21 62665.,21062665.
22 104965.039,22104965.039
8  3425.,080 3425.
12 2513.,12002513.
2  1168.,020 1168.
15 8099.,15008099.
16 27453.,16027453.
18 15430.,18015430.
13 3692.,13003692.
22 103658-9,22103658-9
21 28683-90,21028683-90
21 11305.,21011305.
1  7963-8191,010 7963-8191
7  2607.,070 2607.
16 15888.,16015888.
20 12010.,20012010.
12 5665.,12005665.
10 8802.,10008802.
2  50-1,02000 50-1
16 41390.,16041390.
2  890.,0200 890.
21 63713.004,21063713.004
21 19855.,21019855.
22 17631-38,22017631-38
22 102181.008,22102181.008
22 55897.,22055897.
16 36646.,16036646.
21 80949-51,21080949-51
1  4163.,010 4163.
16 29754.,16029754.
21 68527.035,21068527.035
14 8189.,14008189.
21 73872.,21073872.
22 103309.,22103309.
22 7818-9,22007818-9
22 77339.,22077339.
15 8724.,15008724.
21 16314.,21016314.
22 66253.,22066253.
22 49121.,22049121.
22 47960.,22047960.
15 6639.,15006639.
16 38595-6,16038595-6
22 32996.,22032996.
21 70870.,21070870.
21 367-72,21000367-72
22 101630.001,22101630.001
17 33-9,17000033-9
21 22163.,21022163.
22 114169.,22114169.
22 98163.,22098163.
22 105580.,22105580.
7  1959.,070 1959.
21 16069.,21016069.
22 114179.,22114179.
9  14159.,09 14159.
13 117.003,13000117.003
16 2924.,16002924.
1  3850-67,010 3850-67
12 8018.,12008018.
21 67267.,21067267.
16 4165.,16004165.
21 71416.,21071416.
3  3196-236,030 3196-236
2  5174.,020 5174.
7  48-9,07000 48-9
22 65010.,22065010.
21 73493.,21073493.
22 12978-83,22012978-83
20 3482.,20003482.
21 15247.,21015247.
22 23233-4,22023233-4
15 9177.,15009177.
1  3850-67,010 3850-67
1  4060.007,010 4060.007
21 63809.,21063809.
22 29087.,22029087.
22 6616.,22006616.
21 41665.,21041665.
20 16265.,20016265.
22 6398.,22006398.
22 3044.005,22003044.005
20 6347.,20006347.
21 22371.,21022371.
16 36914.,16036914.
17 13051.,17013051.
22 46773.001,22046773.001
22 119370.012,22119370.012
22 18092-110,22018092-110
17 10766.,17010766.
21 46954.,21046954.
21 24135.016,21024135.016
9  18704.,09 18704.
2  2945.,020 2945.
22 48678.,22048678.
21 30600.,21030600.
21 69103.,21069103.
22 48266.,22048266.
8  9833.,080 9833.
17 13759.,17013759.
21 32190.,21032190.
13 1019.003L,13001019.003L
22 74119-36,22074119-36
1  4059.010,010 4059.010
22 120222.,22120222.
22 117814-5,22117814-5
9  23346.,09 23346.
22 105521.,22105521.
4  1603.,040 1603.
21 52409.,21052409.
10 8766.,10008766.
22 24013.,22024013.
2  2911.,020 2911.
13 15510.,13015510.
17 15816.,17015816.
21 68335.,21068335.
16 15942.,16015942.
16 27787.,16027787.
22 116880.013,22116880.013
12 2823.,12002823.
10 363-8,10000363-8
22 47467.,22047467.
16 35142.,16035142.
16 36257.,16036257.
12 3690.,12003690.
15 11705.,15011705.
22 22413.,22022413.
22 59694.,22059694.
18 4693-4,18004693-4
12 1388.,12001388.
22 124178.002,22124178.002
22 9498.,22009498.
1  1.,010000 1.
22 75722.,22075722.
22 118415.,22118415.
22 27927.,22027927.
6  3141.,060 3141.
20 14391.,20014391.
22 91501.,22091501.
16 42572.,16042572.
16 45850.,16045850.
1  6733.,010 6733.
8  2944.,080 2944.
22 62853.,22062853.
22 115297.018,22115297.018
22 85178-9,22085178-9
22 73258.,22073258.
20 15888.,20015888.
21 39434.,21039434.
2  1803.,020 1803.
2  2105-9,020 2105-9
21 39501.,21039501.
20 12514.,20012514.
21 58401.,21058401.
22 101172.,22101172.
22 7831-4,22007831-4
2  1530.,020 1530.
16 6112.,16006112.
21 18775.,21018775.
10 1090.,10001090.
16 9231-3,16009231-3
22 34833.,22034833.
14 7574.,14007574.
17 8594.,17008594.
22 712.,22000712.
22 125477.001,22125477.001
8  10592.,08 10592.
22 54008.,22054008.
18 7153-4,18007153-4
21 65894-5,21065894-5
10 6429.,10006429.
22 55085.,22055085.
16 1667-71,16001667-71
1  3877-83,010 3877-83
14 3305.,14003305.
22 11877.005L,22011877.005L
20 16252.,20016252.
14 3988.,14003988.
21 32200.,21032200.
22 42006.,22042006.
21 54838.,21054838.
22 21223.,22021223.
22 83044.,22083044.
22 74390-414,22074390-414
16 20765.,16020765.
16 33256.,16033256.
22 54496.,22054496.
16 37538.,16037538.
2  287.,0200 287.
22 52576.,22052576.
9  11976.,09 11976.
21 31174.,21031174.
22 38844.,22038844.
2  2217.,020 2217.
21 63922.,21063922.
21 70175.,21070175.
13 18416.,13018416.
13 9032.002,13009032.002
9  4432-3,090 4432-3
22 51818.,22051818.
1  9272.,010 9272.
22 51413.,22051413.
1  3994-8,010 3994-8
14 3138.,14003138.
21 76191.,21076191.
22 103871.,22103871.
21 14099.,21014099.
3  195.,0300 195.
21 58733.009,21058733.009
13 7368.001,13007368.001
1  4021.,010 4021.
21 67060.,21067060.
2  1797.,020 1797.
21 34323.,21034323.
1  3837-49,010 3837-49
22 90753.,22090753.
22 38267.,22038267.
12 10375.,12010375.
22 81710.,22081710.
22 58630.,22058630.
4  4000-11,040 4000-11
21 64197.,21064197.
21 53855-6,21053855-6
22 51845.002L,22051845.002L
21 79820-1,21079820-1
16 4272.,16004272.
2  1496.,020 1496.
22 6553.003L,22006553.003L
21 30622.,21030622.
9  7510.,090 7510.
3  165-73,0300 165-73
21 30634.,21030634.
15 8013.,15008013.
21 57966.,21057966.
13 12211.,13012211.
13 11068.,13011068.
7  292.001,0700 292.001
9  14946.,09 14946.
